"","year","stfips","stabb","cntyfips","cntyname","commoditycode","commodityname","insplancode","insplanname","covcateg","claim","acres.total","unitssold","meancov","lostacres","ratio","fullfips","logacres","logunitssold","cat","y2016","y2017","fullfips.ch","commoditycode.ch","insplancode.ch"
"68557",2016,53,"WA",77,"Yakima",220,"FRESH NECTARINES",90,"APH","C",0,62,4,0.5,0,0,53077,4.12713438504509,1.38629436111989,1,1,0,"53077","220","90"
"68558",2016,53,"WA",77,"Yakima",53,"GRAPES",90,"APH","A",0,2396,177,0.527316360601002,0,0,53077,7.78155595923534,5.17614973257383,0,1,0,"53077","53","90"
"68559",2016,53,"WA",77,"Yakima",53,"GRAPES",90,"APH","C",0,4583,31,0.5,0,0,53077,8.43010908450912,3.43398720448515,1,1,0,"53077","53","90"
"68560",2016,53,"WA",77,"Yakima",74,"MINT",90,"APH","C",0,2206,13,0.5,0,0,53077,7.69893619981345,2.56494935746154,1,1,0,"53077","74","90"
"68561",2016,53,"WA",77,"Yakima",89,"PEARS",90,"APH","A",0,461,42,0.6,0,0,53077,6.13339804299665,3.73766961828337,0,1,0,"53077","89","90"
"68562",2016,53,"WA",77,"Yakima",89,"PEARS",90,"APH","C",0,981,31,0.5,0,0,53077,6.88857245956536,3.43398720448515,1,1,0,"53077","89","90"
"68563",2016,53,"WA",77,"Yakima",92,"PLUMS",90,"APH","A",0,92,10,0.595108695652174,0,0,53077,4.52178857704904,2.30258509299405,0,1,0,"53077","92","90"
"68564",2016,53,"WA",77,"Yakima",92,"PLUMS",90,"APH","C",0,25,3,0.5,0,0,53077,3.2188758248682,1.09861228866811,1,1,0,"53077","92","90"
"68565",2016,53,"WA",77,"Yakima",84,"POTATOES",90,"APH","C",0,415,2,0.5,0,0,53077,6.0282785202307,0.693147180559945,1,1,0,"53077","84","90"
"68566",2016,53,"WA",77,"Yakima",11,"WHEAT",2,"RP","A",0,897,10,0.667948717948718,0,0,53077,6.7990558620588,2.30258509299405,0,1,0,"53077","11","2"
"68567",2016,53,"WA",77,"Yakima",11,"WHEAT",1,"YP","A",0,570,3,0.75,0,0,53077,6.3456363608286,1.09861228866811,0,1,0,"53077","11","1"
"68568",2016,53,"WA",77,"Yakima",11,"WHEAT",1,"YP","C",0,1489,4,0.5,0,0,53077,7.30586003268401,1.38629436111989,1,1,0,"53077","11","1"
"90030",2017,53,"WA",77,"Yakima",54,"APPLES",90,"APH","C",0,15847,76,0.5,0,0,53077,9.67073548694281,4.33073334028633,1,0,1,"53077","54","90"
"90031",2017,53,"WA",77,"Yakima",57,"CHERRIES",47,"ARH","A",0,26,2,0.55,0,0,53077,3.25809653802148,0.693147180559945,0,0,1,"53077","57","47"
"90032",2017,53,"WA",77,"Yakima",41,"CORN",2,"RP","A",0,1375,17,0.509745454545455,0,0,53077,7.22620901010067,2.83321334405622,0,0,1,"53077","41","2"
"90033",2017,53,"WA",77,"Yakima",41,"CORN",1,"YP","A",0,5087,42,0.635050127776686,0,0,53077,8.53444354482276,3.73766961828337,0,0,1,"53077","41","1"
