fips,area,latitude,longitude
5033,604.242,35.583041,-94.236224
5035,636.377,35.211878,-90.315331
5037,622.307,35.291259,-90.773894
5039,668.106,33.967823,-92.653999
5041,819.526,33.828748,-91.244427
5043,835.661,33.587242,-91.722778
5045,664.072,35.146356,-92.324654
5047,619.642,35.508573,-93.887672
5049,620.328,36.383443,-91.819239
5051,734.621,34.578861,-93.146915
5053,632.93,34.288063,-92.423984
5055,579.563,36.119922,-90.565241
5057,741.177,33.728611,-93.665809
5059,622.172,34.315177,-92.944147
5061,595.314,34.083179,-93.990988
5063,771.518,35.737499,-91.559942
5065,584.018,36.094879,-91.913625
5067,641.501,35.596605,-91.223178
5069,913.776,34.277696,-91.930701
5071,682.744,35.573359,-93.466322
5073,545.079,33.24066,-93.611643
5075,592.342,36.041098,-91.101153
5077,619.502,34.77975,-90.779288
5079,572.185,33.957665,-91.727624
5081,564.766,33.699497,-94.229774
5083,731.56,35.21855,-93.720563
5085,802.84,34.755114,-91.894132
5087,837.08,36.012545,-93.724053
5089,640.32,36.266656,-92.678588
5091,637.649,33.305505,-93.901509
5093,919.812,35.766943,-90.052209
5095,621.298,34.679513,-91.203314
5097,800.289,34.545652,-93.664147
5099,620.639,33.666699,-93.305072
5101,823.186,35.910063,-93.215084
5103,739.752,33.591158,-92.878418
5105,560.533,34.946363,-92.926877
5107,727.345,34.425842,-90.848386
5109,614.13,34.158191,-93.658659
5111,763.61,35.568981,-90.680595
5113,862.462,34.490915,-94.230884
5115,830.775,35.455297,-93.031535
5117,675.614,34.828225,-91.5572
5119,807.663,34.773988,-92.316515
5121,656.04,36.341299,-91.028441
5123,642.512,35.014438,-90.742199
5125,730.49,34.648525,-92.674463
5127,898.073,34.858869,-94.063641
5129,668.511,35.90966,-92.699351
5131,546.16,35.196981,-94.274989
5133,581.277,33.994608,-94.24329
5135,606.436,36.173399,-91.471069
5137,609.432,35.856989,-92.140494
5139,1055.199,33.168219,-92.598145
5141,724.284,35.582959,-92.515977
5143,952.409,35.971209,-94.218417
5145,1042.145,35.254722,-91.753158
5147,594.014,35.189071,-91.244418
5149,948.857,34.997713,-93.408303
6001,821.328,37.648081,-121.913304
6003,743.18,38.61761,-119.798999
6005,605.956,38.44355,-120.653856
6007,1677.131,39.665959,-121.601919
6009,1036.927,38.187844,-120.555115
6011,1156.361,39.177739,-122.237563
6013,803.77,37.919479,-121.951543
6015,1229.743,41.749903,-123.980998
6017,1786.356,38.785532,-120.534398
6019,6011.202,36.761006,-119.655019
6021,1326.978,39.602546,-122.4017
6023,4052.258,40.706673,-123.925818
6025,4481.719,33.040816,-115.355395
6027,10226.905,36.561977,-117.403927
6029,8162.641,35.346629,-118.729506
6031,1391.531,36.072478,-119.81553
6033,1329.423,39.094802,-122.746757
6035,4720.119,40.721089,-120.629931
6037,4750.942,34.196398,-118.261862
6039,2153.269,37.210039,-119.749852
